Country,Athletes Sent,Gold,Silver,Bronze,Medals Won
AIN,32,1,4,1,6
Albania,8,0,0,2,2
Algeria,46,2,0,1,3
Argentina,143,1,2,16,19
Armenia,15,0,3,1,4
Australia,475,33,45,43,121
Austria,84,3,0,3,6
Azerbaijan,48,2,2,3,7
Bahrain,14,2,1,1,4
Belgium,177,2,1,5,8
Botswana,14,1,6,0,7
Brazil,290,4,28,35,67
Bulgaria,46,3,0,3,6
Cabo Verde,7,0,0,1,1
Canada,332,14,29,12,55
Chile,48,1,1,0,2
China,398,60,57,40,157
Chinese Taipei,60,3,0,5,8
Colombia,88,0,3,1,4
Croatia,73,3,14,3,20
Cuba,61,2,1,6,9
Cyprus,15,0,1,0,1
Czechia,111,4,0,5,9
Côte d'Ivoire,13,0,0,1,1
DPR Korea,14,0,4,4,8
Denmark,131,17,5,20,42
Dominica,4,1,0,0,1
Dominican Republic,59,1,0,2,3
EOR,37,0,0,1,1
Ecuador,40,1,3,2,6
Egypt,157,1,1,1,3
Ethiopia,33,1,3,0,4
Fiji,36,0,14,0,14
France,601,53,95,39,187
Georgia,28,3,3,1,7
Germany,457,22,50,36,108
Great Britain,343,40,39,79,158
Greece,100,1,1,8,10
Grenada,6,0,0,2,2
Guatemala,16,1,0,1,2
"Hong Kong, China",34,2,0,2,4
Hungary,177,9,8,8,25
IR Iran,41,3,6,3,12
India,112,0,1,21,22
Indonesia,29,2,0,0,2
Ireland,143,5,0,4,9
Israel,89,1,4,1,6
Italy,397,31,27,22,80
Jamaica,65,1,3,2,6
Japan,431,27,31,24,82
Jordan,12,0,1,0,1
Kazakhstan,79,1,3,4,8
Kenya,74,4,2,5,11
Korea,147,21,14,23,58
Kosovo,9,0,1,1,2
Kyrgyzstan,16,0,2,4,6
Lithuania,51,0,2,5,7
Malaysia,26,0,0,3,3
Mexico,108,0,4,4,8
Mongolia,32,0,1,0,1
Morocco,61,1,0,19,20
Netherlands,290,67,23,24,114
New Zealand,208,24,18,7,49
Norway,109,18,1,4,23
Pakistan,7,1,0,0,1
Panama,8,0,1,0,1
Peru,26,0,0,1,1
Philippines,22,2,0,2,4
Poland,226,1,16,11,28
Portugal,75,2,2,1,5
Puerto Rico,51,0,0,2,2
Qatar,13,0,0,1,1
Republic of Moldova,26,0,1,3,4
Romania,96,12,7,2,21
Saint Lucia,4,1,1,0,2
Serbia,114,16,1,12,29
Singapore,23,0,0,1,1
Slovakia,28,0,0,1,1
Slovenia,95,2,1,0,3
South Africa,141,1,7,14,22
Spain,401,40,7,34,81
Sweden,125,5,7,4,16
Switzerland,137,1,2,7,10
Tajikistan,14,0,0,3,3
Thailand,52,1,3,2,6
Tunisia,26,1,1,1,3
Türkiye,101,0,4,7,11
Uganda,25,1,1,0,2
Ukraine,141,6,4,4,14
United States,619,131,101,95,327
Uzbekistan,88,8,2,3,13
Zambia,31,0,0,1,1
