discipline,total_medals,Percentage,Category,Gap_to_Parity,Projected_Growth
Athletics,222,9.84478935698448,Athletics,0,222
Swimming,219,9.711751662971176,Swimming,3,222
Rowing,144,6.385809312638581,Rowing,78,222
Football,124,5.498891352549889,Football,98,222
Judo,105,4.656319290465632,Judo,117,222
Hockey,102,4.523281596452328,Hockey,120,222
Handball,94,4.168514412416852,Handball,128,222
Fencing,90,3.9911308203991127,Fencing,132,222
Cycling Track,87,3.8580931263858096,Cycling Track,135,222
Water Polo,78,3.458980044345898,Water Polo,144,222
Volleyball,78,3.458980044345898,Volleyball,144,222
Rugby Sevens,78,3.458980044345898,Rugby Sevens,144,222
Basketball,72,3.1929046563192904,Basketball,150,222
Wrestling,72,3.1929046563192904,Wrestling,150,222
Artistic Gymnastics,67,2.9711751662971175,Artistic Gymnastics,155,222
Shooting,54,2.394678492239468,Shooting,168,222
Boxing,52,2.305986696230599,Boxing,170,222
Equestrian,45,1.9955654101995564,Other,177,222
Sailing,42,1.862527716186253,Other,180,222
Diving,36,1.5964523281596452,Other,186,222
Canoe Sprint,36,1.5964523281596452,Other,186,222
Taekwondo,32,1.4190687361419068,Other,190,222
Table Tennis,30,1.3303769401330376,Other,192,222
Weightlifting,30,1.3303769401330376,Other,192,222
Archery,30,1.3303769401330376,Other,192,222
Artistic Swimming,27,1.197339246119734,Other,195,222
Tennis,24,1.06430155210643,Other,198,222
3x3 Basketball,24,1.06430155210643,Other,198,222
Badminton,23,1.0199556541019956,Other,199,222
Triathlon,18,0.7982261640798226,Other,204,222
Canoe Slalom,18,0.7982261640798226,Other,204,222
Cycling Road,12,0.532150776053215,Other,210,222
Sport Climbing,12,0.532150776053215,Other,210,222
Beach Volleyball,12,0.532150776053215,Other,210,222
Skateboarding,12,0.532150776053215,Other,210,222
Surfing,6,0.2660753880266075,Other,216,222
Golf,6,0.2660753880266075,Other,216,222
Marathon Swimming,6,0.2660753880266075,Other,216,222
Breaking,6,0.2660753880266075,Other,216,222
Trampoline Gymnastics,6,0.2660753880266075,Other,216,222
Cycling BMX Racing,6,0.2660753880266075,Other,216,222
Cycling Mountain Bike,6,0.2660753880266075,Other,216,222
Cycling BMX Freestyle,6,0.2660753880266075,Other,216,222
Modern Pentathlon,6,0.2660753880266075,Other,216,222
